llllllll;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,2026년01월_거주자_0~9세,2026년01월_거주자_10~19세,2026년01월_거주자_20~29세,2026년01월_거주자_30~39세,2026년01월_거주자_40~49세,2026년01월_거주자_50~59세,2026년01월_거주자_60~69세,2026년01월_거주자_70~79세,2026년01월_거주자_80~89세,2026년01월_거주자_90~99세,2026년01월_거주자_100세 이상,2026년02월_거주자_총인구수,2026년02월_거주자_연령구간인구수,2026년02월_거주자_0~9세,2026년02월_거주자_10~19세,2026년02월_거주자_20~29세,2026년02월_거주자_30~39세,2026년02월_거주자_40~49세,2026년02월_거주자_50~59세,2026년02월_거주자_60~69세,2026년02월_거주자_70~79세,2026년02월_거주자_80~89세,2026년02월_거주자_90~99세,2026년02월_거주자_100세 이상,2026년03월_거주자_총인구수,2026년03월_거주자_연령구간인구수,2026년03월_거주자_0~9세,2026년03월_거주자_10~19세,2026년03월_거주자_20~29세,2026년03월_거주자_30~39세,2026년03월_거주자_40~49세,2026년03월_거주자_50~59세,2026년03월_거주자_60~69세,2026년03월_거주자_70~79세,2026년03월_거주자_80~89세,2026년03월_거주자_90~99세,2026년03월_거주자_100세 이상,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,2026년04월_거주자_0~9세,2026년04월_거주자_10~19세,2026년04월_거주자_20~29세,2026년04월_거주자_30~39세,2026년04월_거주자_40~49세,2026년04월_거주자_50~59세,2026년04월_거주자_60~69세,2026년04월_거주자_70~79세,2026년04월_거주자_80~89세,2026년04월_거주자_90~99세,2026년04월_거주자_100세 이상
서울특별시  (1100000000),"459,008","715,905","1,245,417","1,455,919","1,350,737","1,452,383","1,303,402","827,409","366,555","55,415","1,327","9,238,078","9,238,078","457,883","717,911","1,243,103","1,453,703","1,351,637","1,452,741","1,304,263","831,955","367,484","56,051","1,347","9,238,662","9,238,662","456,369","718,682","1,240,348","1,457,901","1,347,262","1,448,776","1,304,987","837,253","368,849","56,887","1,348","9,233,066","9,233,066","455,285","717,167","1,235,592","1,459,863","1,345,085","1,447,146","1,304,872","839,832","369,461","57,418","1,345"
서울특별시 종로구 (1111000000),"5,049","9,104","19,989","19,668","17,915","22,350","20,584","12,469","6,794","1,184",30,"135,116","135,116","5,034","9,146","20,012","19,618","17,862","22,345","20,582","12,489","6,796","1,202",30,"135,176","135,176","5,009","9,180","19,980","19,762","17,817","22,247","20,579","12,570","6,788","1,215",29,"135,081","135,081","5,005","9,149","19,929","19,758","17,809","22,169","20,614","12,593","6,801","1,226",28
서울특별시 중구 (1114000000),"4,933","5,726","15,594","21,108","15,868","17,439","17,568","11,377","5,726",994,19,"116,268","116,268","4,848","5,825","15,520","21,014","15,891","17,429","17,548","11,439","5,742",992,20,"116,415","116,415","4,846","5,848","15,535","21,072","15,913","17,399","17,535","11,493","5,743","1,011",20,"116,427","116,427","4,840","5,812","15,478","21,115","15,930","17,416","17,508","11,560","5,727","1,022",19
서울특별시 용산구 (1117000000),"9,796","12,572","26,173","36,864","28,572","31,090","27,583","15,962","8,515","1,561",46,"198,480","198,480","9,764","12,593","26,030","36,736","28,576","31,070","27,530","16,075","8,483","1,576",47,"197,948","197,948","9,757","12,571","25,829","36,715","28,443","30,920","27,522","16,087","8,469","1,589",46,"197,183","197,183","9,732","12,542","25,637","36,652","28,364","30,798","27,371","16,024","8,408","1,605",50
서울특별시 성동구 (1120000000),"15,643","17,073","37,531","48,202","39,240","42,217","38,066","22,265","10,837","1,571",28,"272,835","272,835","15,584","17,181","37,538","48,037","39,273","42,274","38,052","22,419","10,857","1,591",29,"273,084","273,084","15,638","17,269","37,529","48,158","39,189","42,193","38,072","22,522","10,856","1,629",29,"272,909","272,909","15,623","17,247","37,429","48,158","39,146","42,188","38,055","22,549","10,850","1,637",27
서울특별시 광진구 (1121500000),"13,439","22,777","54,480","56,551","45,477","50,481","45,255","26,610","11,711","1,781",39,"328,772","328,772","13,409","22,816","54,485","56,443","45,504","50,440","45,344","26,699","11,776","1,815",41,"328,807","328,807","13,372","22,928","54,406","56,560","45,382","50,214","45,394","26,855","11,819","1,839",38,"328,723","328,723","13,332","22,879","54,217","56,692","45,399","50,060","45,442","26,979","11,827","1,857",39
서울특별시 동대문구 (1123000000),"17,744","22,730","54,926","54,534","47,682","52,058","48,343","31,213","15,032","2,115",49,"348,210","348,210","17,768","23,225","55,269","54,776","47,810","52,264","48,435","31,394","15,064","2,155",50,"349,373","349,373","17,774","23,459","55,489","55,186","47,821","52,169","48,488","31,601","15,159","2,176",51,"349,491","349,491","17,788","23,387","55,361","55,382","47,859","52,084","48,508","31,707","15,171","2,194",50
서울특별시 중랑구 (1126000000),"16,547","23,062","44,779","58,575","50,328","61,207","63,778","38,158","16,340","2,281",54,"375,077","375,077","16,385","23,085","44,748","58,525","50,228","61,116","63,880","38,385","16,367","2,304",54,"374,876","374,876","16,287","23,038","44,495","58,728","50,069","60,767","64,006","38,634","16,456","2,339",57,"374,803","374,803","16,261","22,944","44,270","58,894","50,015","60,639","64,033","38,815","16,513","2,364",55
서울특별시 성북구 (1129000000),"21,344","33,655","62,189","56,623","59,197","69,998","58,029","37,193","18,471","2,764",59,"419,929","419,929","21,223","34,098","62,195","56,493","59,074","70,061","58,081","37,353","18,491","2,798",62,"420,178","420,178","21,171","34,286","62,195","56,664","58,856","69,888","58,043","37,581","18,580","2,854",60,"419,853","419,853","21,156","34,165","62,064","56,723","58,753","69,755","58,049","37,658","18,595","2,874",61
서울특별시 강북구 (1130500000),"9,525","17,767","33,926","34,115","35,764","47,967","47,184","32,366","16,061","2,036",39,"276,794","276,794","9,489","17,838","33,812","34,050","35,710","47,982","47,209","32,501","16,092","2,069",42,"276,786","276,786","9,428","17,864","33,737","34,116","35,591","47,814","47,295","32,655","16,138","2,105",43,"276,525","276,525","9,380","17,802","33,634","34,104","35,460","47,743","47,317","32,733","16,162","2,147",43
서울특별시 도봉구 (1132000000),"11,716","21,115","33,013","36,997","39,248","51,409","52,798","33,247","15,777","2,349",70,"297,508","297,508","11,635","21,063","32,873","36,883","39,146","51,347","52,835","33,447","15,834","2,375",70,"297,295","297,295","11,558","21,072","32,746","36,888","38,964","51,195","52,860","33,668","15,877","2,395",72,"297,059","297,059","11,534","20,998","32,568","36,892","38,877","51,087","52,922","33,808","15,887","2,415",71
서울특별시 노원구 (1135000000),"22,734","43,744","60,463","60,872","68,325","83,159","71,956","44,900","20,608","3,459",83,"480,143","480,143","22,707","43,827","60,183","60,715","68,361","83,038","71,955","45,183","20,612","3,480",82,"480,352","480,352","22,639","44,110","60,277","60,936","68,078","82,600","71,991","45,434","20,670","3,534",83,"479,965","479,965","22,615","43,861","60,148","61,190","67,889","82,402","71,913","45,604","20,695","3,565",83
서울특별시 은평구 (1138000000),"20,276","33,460","55,416","66,486","63,909","76,001","68,391","43,992","21,168","2,950",66,"451,605","451,605","20,092","33,343","55,208","66,341","63,747","75,942","68,427","44,259","21,182","2,994",70,"451,385","451,385","20,047","33,276","54,933","66,508","63,497","75,772","68,465","44,526","21,239","3,055",67,"450,831","450,831","19,945","33,167","54,673","66,535","63,337","75,603","68,483","44,604","21,322","3,097",65
서울특별시 서대문구 (1141000000),"15,105","21,582","44,501","44,761","41,619","47,076","41,291","25,676","13,789","2,130",50,"297,813","297,813","15,026","21,755","44,571","44,651","41,610","47,055","41,366","25,778","13,788","2,163",50,"298,233","298,233","14,948","21,874","44,692","44,883","41,490","46,964","41,411","25,932","13,794","2,198",47,"298,046","298,046","14,902","21,794","44,513","45,074","41,435","46,884","41,429","25,986","13,766","2,216",47
서울특별시 마포구 (1144000000),"18,147","25,628","54,108","64,153","53,934","55,027","42,097","25,340","13,549","2,206",41,"354,161","354,161","18,037","25,696","54,060","63,989","53,943","55,038","42,104","25,490","13,544","2,221",39,"353,997","353,997","17,953","25,669","53,939","64,147","53,707","54,946","42,096","25,710","13,546","2,240",44,"353,917","353,917","17,946","25,657","53,739","64,213","53,653","54,975","42,128","25,777","13,523","2,261",45
서울특별시 양천구 (1147000000),"22,525","46,189","46,311","51,449","68,870","71,289","61,777","37,648","13,950","2,187",62,"422,155","422,155","22,616","46,055","46,025","51,356","69,000","71,122","61,832","37,878","13,998","2,209",64,"421,364","421,364","22,517","45,871","45,678","51,428","68,662","70,862","61,807","38,168","14,078","2,231",62,"420,607","420,607","22,407","45,716","45,376","51,420","68,431","70,726","61,846","38,291","14,069","2,262",63
서울특별시 강서구 (1150000000),"26,503","39,997","70,997","95,833","81,019","80,634","78,294","50,177","19,656","3,252",94,"545,970","545,970","26,368","39,865","70,688","95,572","81,034","80,601","78,266","50,459","19,737","3,287",93,"545,913","545,913","26,271","39,819","70,334","95,986","80,759","80,378","78,256","50,890","19,796","3,332",92,"545,653","545,653","26,186","39,763","70,068","96,082","80,648","80,292","78,218","51,097","19,845","3,362",92
